trip_distance,ride_time,fare_amount,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
3.0,15.7,13.0,20.0,100.0,219.0,2.0,
7.3,16.8,52.0,21.0,113.0,40.0,1.0,
17.69,51.033333,52.0,18.0,221.0,192.0,2.0,
2.18,15.916667,12.5,19.0,197.0,218.0,4.0,
4.58,12.65,15.5,11.0,74.0,163.0,1.0,
0.39,1.1,3.5,14.0,58.0,235.0,2.0,
10.87,30.316668,32.0,14.0,133.0,131.0,1.0,
1.62,13.75,10.0,18.0,132.0,222.0,1.0,
0.28,1.0333333,-3.0,21.0,221.0,125.0,1.0,
1.11,4.6666665,5.5,21.0,40.0,226.0,1.0,
5.59,31.283333,22.0,19.0,208.0,139.0,1.0,
2.95,14.533334,12.0,21.0,134.0,66.0,1.0,
1.14,8.366667,7.0,8.0,190.0,226.0,1.0,
3.17,10.233334,11.5,17.0,74.0,77.0,2.0,
1.41,4.5833335,6.0,6.0,88.0,155.0,1.0,
3.67,21.083334,16.0,20.0,91.0,136.0,1.0,
1.0,8.983334,7.0,20.0,132.0,157.0,2.0,
2.14,14.083333,11.0,15.0,200.0,133.0,2.0,
2.5,8.3,9.5,0.0,133.0,73.0,1.0,
1.7,10.6,8.5,11.0,118.0,156.0,1.0,
3.0,12.95,12.5,13.0,42.0,144.0,1.0,
8.0,20.983334,24.5,8.0,198.0,220.0,1.0,
1.09,5.133333,5.5,19.0,153.0,238.0,1.0,
1.33,11.916667,9.0,13.0,88.0,163.0,3.0,
8.66,39.233334,32.5,13.0,113.0,97.0,3.0,
1.98,9.666667,9.0,17.0,197.0,228.0,1.0,
2.05,6.2,7.5,0.0,194.0,2.0,5.0,
1.13,5.5333333,6.0,18.0,153.0,66.0,1.0,
1.9,10.983334,10.0,17.0,133.0,225.0,1.0,
3.49,27.883333,19.0,15.0,192.0,219.0,3.0,
2.29,11.7,10.0,14.0,118.0,235.0,1.0,
1.26,7.5333333,7.0,10.0,153.0,238.0,1.0,
2.32,14.066667,11.0,8.0,221.0,253.0,1.0,
0.8,4.8166666,5.5,20.0,219.0,225.0,1.0,
4.94,17.333334,16.5,22.0,190.0,159.0,1.0,
4.77,32.85,22.0,10.0,92.0,41.0,2.0,
5.8,23.65,21.0,19.0,58.0,225.0,0.0,
1.37,11.166667,8.5,18.0,10.0,43.0,2.0,
2.37,17.233334,12.5,10.0,92.0,163.0,1.0,
2.02,16.666666,12.0,9.0,133.0,133.0,1.0,
1.9,15.716666,11.0,18.0,112.0,238.0,1.0,
1.16,9.133333,7.5,9.0,195.0,163.0,1.0,
2.06,9.05,9.0,0.0,92.0,177.0,1.0,
0.52,2.9333334,4.0,11.0,219.0,251.0,1.0,
1.54,18.216667,12.0,11.0,58.0,48.0,1.0,
2.12,11.15,9.5,7.0,118.0,154.0,3.0,
0.6,4.65,5.0,14.0,58.0,177.0,0.0,
2.25,10.25,9.0,21.0,132.0,133.0,2.0,
8.16,20.533333,23.5,20.0,113.0,163.0,1.0,
12.95,42.833332,40.5,21.0,107.0,23.0,1.0,
3.16,21.116667,15.5,21.0,132.0,200.0,2.0,
1.18,6.983333,6.5,9.0,84.0,219.0,1.0,
1.53,8.733334,8.0,19.0,221.0,253.0,1.0,
10.5,27.25,30.5,12.0,60.0,23.0,1.0,
0.56,5.7166667,5.5,15.0,118.0,136.0,1.0,
0.6,4.2,5.0,17.0,198.0,155.0,1.0,
19.32,65.98333,52.0,15.0,220.0,125.0,1.0,
0.72,4.55,5.0,19.0,137.0,144.0,1.0,
2.64,12.233334,11.5,19.0,132.0,227.0,1.0,
1.41,22.683332,14.0,9.0,84.0,222.0,1.0,
18.7,42.6,52.0,4.0,107.0,220.0,3.0,
1.73,8.233334,8.5,14.0,134.0,225.0,1.0,
1.96,15.333333,11.0,16.0,84.0,226.0,1.0,
2.1,7.8333335,8.5,20.0,133.0,252.0,1.0,
1.0,16.516666,11.0,13.0,40.0,66.0,2.0,
2.6,18.95,13.5,22.0,117.0,88.0,2.0,
17.82,75.8,52.0,12.0,107.0,41.0,2.0,
2.56,14.35,11.5,20.0,117.0,101.0,1.0,
0.8,4.883333,5.5,7.0,133.0,163.0,1.0,
0.89,4.85,5.5,19.0,117.0,228.0,1.0,
0.88,5.983333,5.5,13.0,92.0,101.0,1.0,
0.76,4.8166666,5.0,20.0,88.0,163.0,1.0,
1.4,8.65,7.5,9.0,195.0,155.0,1.0,
1.73,4.6833334,6.5,19.0,116.0,225.0,1.0,
0.6,6.4333334,5.0,20.0,134.0,48.0,2.0,
1.8,21.516666,13.5,17.0,153.0,155.0,1.0,
1.0,9.966666,8.0,15.0,37.0,155.0,2.0,
9.67,42.25,33.5,8.0,113.0,219.0,1.0,
3.99,26.466667,18.5,16.0,133.0,220.0,1.0,
1.24,6.25,6.5,20.0,68.0,130.0,1.0,
1.96,18.616667,12.5,15.0,91.0,220.0,2.0,
1.3,13.7,10.0,12.0,132.0,97.0,0.0,
15.2,49.966667,55.0,17.0,107.0,244.0,1.0,
0.7,3.75,5.0,22.0,92.0,220.0,1.0,
3.01,12.816667,11.0,19.0,40.0,144.0,2.0,
0.8,5.65,5.5,11.0,197.0,226.0,1.0,
1.75,7.866667,7.5,16.0,190.0,225.0,1.0,
2.53,17.9,13.0,12.0,117.0,133.0,1.0,
1.3,10.483334,8.5,16.0,77.0,154.0,1.0,
10.95,20.95,31.5,0.0,208.0,120.0,1.0,0.0
10.24,35.133335,34.0,8.0,113.0,226.0,2.0,
1.27,11.266666,8.5,12.0,134.0,177.0,1.0,
1.28,9.6,8.0,13.0,197.0,226.0,2.0,
22.99,55.166668,52.0,13.0,107.0,220.0,5.0,
6.84,32.45,24.5,17.0,125.0,232.0,1.0,
1.68,11.65,9.0,18.0,174.0,223.0,1.0,
0.89,4.6,5.5,7.0,77.0,66.0,1.0,
1.03,5.5833335,6.0,18.0,117.0,228.0,3.0,
18.04,56.933334,52.0,12.0,107.0,219.0,2.0,
2.5,18.666666,11.5,10.0,132.0,227.0,1.0,
0.7,6.0666666,6.0,17.0,92.0,137.0,1.0,
2.33,15.166667,11.5,18.0,153.0,2.0,1.0,
1.0,9.033334,7.0,14.0,37.0,219.0,2.0,
1.3,5.2833333,6.0,9.0,125.0,135.0,1.0,
1.88,12.55,9.5,22.0,91.0,163.0,1.0,
2.29,16.533333,12.0,10.0,40.0,101.0,1.0,
1.14,6.8,6.5,23.0,195.0,163.0,1.0,
1.4,14.366667,10.0,10.0,141.0,66.0,1.0,
1.5,8.833333,8.0,14.0,200.0,225.0,1.0,
0.91,14.45,10.0,17.0,153.0,97.0,1.0,
2.61,15.283334,12.0,21.0,133.0,107.0,1.0,
3.3,11.35,12.0,12.0,115.0,101.0,2.0,
